IdProcedimientos,CodProce,CodISS,CodSOAT,DESCRIP,TipoProc,ValorISS,ValorSOAT,ValorParticular,GrupoSOAT,QX,Clasificacion,Area,UVR,Institucional,Nivel,Cuenta,UVRN,ValorISS2000,OtrosServ,RN,DescripSoat,Sexo,Activo,Atributos,EdadInf,EdadSup,PerAtiende,TipoServ,Finalidad,MaxUn,AmbitoProce,FinalidadProce,PerAtiendeProce,ActoQuirurgico,HabilitadoHC,Hemoderivado,AplicaPyP,AplicaEnfermeria,Curaciones,TerapiaRespiratoria,TerapiaFisica,idAreaLaboratorio,CuentaColGaap,idPlantillaServicio
H0147,684020,684020,684020,HISTERECTOMIA TOTAL POR LAPAROSCOPIA GINECOLOGIA HISTERECTOMIA ABDOMINAL CON LAVADO PELVICO POR LAPAROSCOPIA (PAQUETE),False,,,,,False,I,3110,,True,2,43123601,,,,False,HISTERECTOMIA TOTAL POR LAPAROSCOPIA GINECOLOGIA HISTERECTOMIA ABDOMINAL CON LAVADO PELVICO POR LAPAROSCOPIA (PAQUETE),F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0148,683111,683111,683111,"HISTERECTOMIA SUBTOTAL O SUPRACERVICAL, POR LAPAROSCOPIA GINECOLOGIA HISTERECTOMIA SUBTOTAL O SUPRACERVICAL POR LAPAROSCOPIA (PAQUETE)",False,,,,,False,I,3110,,True,2,43123601,,,,False,"HISTERECTOMIA SUBTOTAL O SUPRACERVICAL, POR LAPAROSCOPIA GINECOLOGIA HISTERECTOMIA SUBTOTAL O SUPRACERVICAL POR LAPAROSCOPIA (PAQUETE)
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0149,691201,691201,691201,ESCISION Y ABLACION DE ENDOMETROCIS ESTADOS i y iiPOR LAPAROSCOPIA GINECOLOGIA TRATAMIENTO DE ENDOMETROSIS POR LAPAROSCOPIA (PAQUETE),False,,,,,False,I,3110,,True,2,43123601,,,,False,"ESCISION Y ABLACION DE ENDOMETROCIS ESTADOS i y iiPOR LAPAROSCOPIA GINECOLOGIA TRATAMIENTO DE ENDOMETROSIS POR LAPAROSCOPIA (PAQUETE)
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0150,691201,691201,691201,ESCISIÓN Y ABLACIÓN DE ENDOMETROSIS ESTADOS I Y II POR LAPAR (PAQUETE) ,False,,,,,False,I,3110,,True,2,43123601,,,,False,"ESCISIÓN Y ABLACIÓN DE ENDOMETROSIS ESTADOS I Y II POR LAPAR (PAQUETE) 
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0151,691201,691201,691201,ESCISIÓN Y ABLACIÓN DE ENDOMETROSIS ESTADOS III Y IV POR LAPAR (PAQUETE) ,False,,,,,False,I,3110,,True,2,43123601,,,,False,"ESCISIÓN Y ABLACIÓN DE ENDOMETROSIS ESTADOS III Y IV POR LAPAR (PAQUETE) 
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0152,691302,691302,691302,SECCIÓN DE ADHERENCIAS UTERINAS A PARED ABDOMINAL VÍA LAPARO (PAQUETE) ,False,,,,,False,I,3110,,True,2,43123601,,,,False,"SECCIÓN DE ADHERENCIAS UTERINAS A PARED ABDOMINAL VÍA LAPARO (PAQUETE) 
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0153,694102,694102,694102,"HISTERORRAFIA POR LAPAROSCOPIA GINECOLOGIA, HISTERORRAFIA POR LAPAROSCOPIA (PAQUETE)",False,,,,,False,I,3110,,True,2,43123601,,,,False,"HISTERORRAFIA POR LAPAROSCOPIA GINECOLOGIA, HISTERORRAFIA POR LAPAROSCOPIA (PAQUETE)
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0154,707703,707703,707703,COLPOPEXIA POR LAPAROSCOPIA GINECOLOGIA COLPOPEXIA POR LAPAROSCOPIA (PAQUETE),False,,,,,False,I,3110,,True,2,43123601,,,,False,"COLPOPEXIA POR LAPAROSCOPIA GINECOLOGIA COLPOPEXIA POR LAPAROSCOPIA (PAQUETE)
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0155,C00015,C00015,C00015,RESECCION DE TROMPA DE FALOPIO  POR APAROSCOPIO (PAQUETE) ,False,,,,,False,I,3110,,True,2,43123601,,,,False,"RESECCION DE TROMPA DE FALOPIO  POR APAROSCOPIO (PAQUETE) 
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0156,682302,682302,682302,RESECCIÓN DE POLIPO ENDOMETRIAL POR HISTEROSCOPIA (PAQUETE) ,False,,,,,False,I,3110,,True,2,43123603,,,,False,"RESECCIÓN DE POLIPO ENDOMETRIAL POR HISTEROSCOPIA (PAQUETE) 
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0157,682405,682405,682405,MIOMECTOMIA UTERINA POR VIDEOHISTEROSCOPIA (PAQUETE) ,False,,,,,False,I,3110,,True,2,43123603,,,,False,"MIOMECTOMIA UTERINA POR VIDEOHISTEROSCOPIA (PAQUETE) 
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,1,False,,False,False,False,False,False,,,
H0158,669220,669220,669220,SALPINGO-OOFORECTOMIA BILATERAL POR LAPAROSCOPIA (PAQUETE),False,,,,,False,I,3110,,True,2,43123601,,,,False,"SALPINGO-OOFORECTOMIA BILATERAL POR LAPAROSCOPIA (PAQUETE)
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0159,41501,41501,41501,NUTRICION PARENTERAL,False,,,,,False,A,EST1,,True,3,43122701,,,,False,NUTRICION PARENTERAL,A,True,|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0160,903809,903809,19170,BILIRRUBINAS TOTAL,False,,,,,False,L,3140,,True,2,43124601,,,,False,BILIRRUBINAS TOTAL,A,True,|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,True,,False,False,False,False,False,,,
H0161,890402,890402,39134,VALORACION POR EL PEDIATRA DEL RECION NACIDO Y CONTROLES DE,False,,,,,False,C,EST1,,True,2,43121701,,,1,False,VALORACION POR EL PEDIATRA DEL RECION NACIDO Y CONTROLES DE,A,True,|Pos_Pr|Sub_Pr|,409,454,,,,,2,1,1,,True,,False,False,False,False,False,,,
H0162,906249,906249,19879,"SIDA, ANTICUERPOS VIH  2.",False,,,,,False,L,3140,,True,2,43124601,,,,False,"SIDA, ANTICUERPOS VIH  2.",A,True,|Pos_Pr|Sub_Pr|,306,599,,,,,2,1,1,,True,,False,False,False,False,False,,,
H0163,903866,903866,19934,TRANSAMINASA PIRAVICA / ALAT ,False,,,,,False,L,3140,,True,2,43124601,,,,False,TRANSAMINASA PIRAVICA / ALAT ,A,True,|Pos_Pr|Sub_Pr|,000,599,1,1,10,,2,1,1,,True,,False,False,False,False,False,,,
H0164,890202,890202,39139,CONSULTA PREANESTESICA,False,,,,,False,C,3020,,False,2,43121701,,,,False,CONSULTA PREANESTESICA,A,False,|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0165,664001,11201,11201,SALPINGECTOMIA PARCIAL BILATERAL ,False,,,,7.0,False,I,3110,,True,2,43123601,,,,False,SALPINGECTOMIA PARCIAL BILATERAL ,F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,,,,,True,,False,False,False,False,False,,,
H0166,906224,906224,19554,REACCION EN CADENA POLIMERASA EN CITOMEGALOVIRUS,False,,,,,False,L,3140,,False,2,43124701,,,,False,REACCION EN CADENA POLIMERASA EN CITOMEGALOVIRUS,F,True,|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,True,,False,False,False,False,False,,,
H0167,906129,906129,19930,TOXOPLASMA EN LIQUIDO AMNIOTICO,False,,,,,False,L,3140,,False,2,43124701,,,,False,TOXOPLASMA EN LIQUIDO AMNIOTICO,F,True,|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,True,,False,False,False,False,False,,,
H0168,904508,904508,19354,"GONADOTROPINA CORIÓNICA, SUBUNIDAD BETA CUALITATIVA, [BHCG] PRUEBA DE EMBARAZO EN ORINA O SUERO +",False,,,,,False,L,3140,,False,2,43124601,,,,False,"EMBARAZO, PRUEBA EN PLACA (LITEX, POLICLONAL)",A,False,|Pos_Pr|Sub_Pr|,409,454,,,,,2,1,1,,False,,False,False,False,False,False,,,
